Project number,title,mentioned in paper,reason for noninclusion,Output description,Output category (paper),language,Tools,data,main technique,main technique (text-gen) (paper),has narrative in output (only text category output),main technique (narrative gen) (paper),user,created_at,updated_at,html_url
83,The Defeat at Procyon V,X,,dialogue,text,Julia,-,-,"Answer-generation, templates","Answer-generation, templates",X,"hardcoding narrative elements (begin, end)",cpressey,2018-11-22T12:20:29Z,2019-01-10T12:10:31Z,https://github.com/NaNoGenMo/2018/issues/83
84,The cases are two,,,art/text,text,"Javascript, tracery",Tracery,https://github.com/dariusk/corpora,word substitution/randomness and templating,"word substitution, randomness,  templates",,,riccardocrosa,2018-11-23T20:37:36Z,2018-11-29T15:17:37Z,https://github.com/NaNoGenMo/2018/issues/84
85,Boring Tales From Tiny Places,,,description of scene,text,Javascript,"Tracery,RiTa",-,templates,templates,,,emmawinston,2018-11-24T12:48:34Z,2018-12-05T12:17:12Z,https://github.com/NaNoGenMo/2018/issues/85
86,"Doctor, doctor!",X,,dialogue,text,Javascript,-,Yahoo! Answers dataset https://ciir.cs.umass.edu/downloads/nfL6/,"templates, information retrieval","templates, information retrieval",,,danhett,2018-11-25T16:07:17Z,2018-11-25T17:35:58Z,https://github.com/NaNoGenMo/2018/issues/86
87,Acrostic explosion,,,Text / art (accrostic poems),poetry,Javascript,,,randomness,,,,WhistleOfTroy,2018-11-25T20:31:52Z,2018-12-01T14:11:23Z,https://github.com/NaNoGenMo/2018/issues/87
89,Not Your Average Ultra,X,,Story,text,Python,"NLTK, Markovify","Racereports from http://barkleymarathons.com/, experience reports from https://erowid.org/experiences/",markovchains,Markov chains,,hardcoding narrative elements,nmifsud,2018-11-28T21:58:37Z,2018-11-30T20:35:50Z,https://github.com/NaNoGenMo/2018/issues/89
90,Her Majesty's Aviary,,,inventory of birds,list,Unity,,,,,,,marcelop,2018-11-29T03:09:02Z,2018-11-30T18:48:18Z,https://github.com/NaNoGenMo/2018/issues/90
91,ETERLAN SEPTEBMER,,,random strings,word art,Befunge,,,,,,,cpressey,2018-11-29T16:04:22Z,2019-01-10T12:11:34Z,https://github.com/NaNoGenMo/2018/issues/91
92,A Pseudo-Philosophical Novel,,,paragraphs of aphorisms,list,Ruby,,,information retrieval,,,,tra38,2018-11-30T01:27:47Z,2018-12-01T14:01:45Z,https://github.com/NaNoGenMo/2018/issues/92
93,Make Shift ,,,paragraphs,text,Python,Spacy,Tvmaze api,sentiment analysis? ,"NLP, sentence similarity",,,knoxdw,2018-11-30T03:11:41Z,2018-11-30T13:03:06Z,https://github.com/NaNoGenMo/2018/issues/93
